,userId,count_of,challenges_cat,tagged
539,90d0a43eef8742bdabfb3ad7442f7477,"[118.0, 118.0, 118.0, 118.0, 118.0]","['Education', 'Emotions', 'Happiness', 'Love', 'Motherhood']","[{'Education': 118.0}, {'Emotions': 118.0}, {'Happiness': 118.0}, {'Love': 118.0}, {'Motherhood': 118.0}]"
540,90dec4ffd9a546f6b9de34715404d7a1,"[11.0, 11.0]","['Emotions', 'Nostalgia']","[{'Emotions': 11.0}, {'Nostalgia': 11.0}]"
541,90e19e52d83f4f2fb1f79af6f3dc3808,"[12.0, 12.0, 12.0, 12.0, 12.0]","['Education', 'Emotions', 'Happiness', 'Love', 'Strength']","[{'Education': 12.0}, {'Emotions': 12.0}, {'Happiness': 12.0}, {'Love': 12.0}, {'Strength': 12.0}]"
542,910d4bea898c42999bb71ede9024ec85,"[535.0, 47.0, 21.0, 14.0, 9.0, 9.0, 5.0]","['Parenting', 'Love', 'FamilyRelationships', 'SelfCare', 'Emotions', 'Strength', 'Education']","[{'Parenting': 535.0}, {'Love': 47.0}, {'FamilyRelationships': 21.0}, {'SelfCare': 14.0}, {'Emotions': 9.0}, {'Strength': 9.0}, {'Education': 5.0}]"
543,915066c42cb248ff9389fe8a8e90f9f5,"[43.0, 43.0, 43.0]","['Motherhood', 'Parenting', 'SelfCare']","[{'Motherhood': 43.0}, {'Parenting': 43.0}, {'SelfCare': 43.0}]"
544,917e74201d7e41b19f58ef1c506dbf05,"[557.0, 388.0, 388.0, 368.0, 288.0, 201.0, 199.0, 187.0, 187.0, 169.0]","['Love', 'Relationship', 'Strength', 'Education', 'Marriage', 'SelfCare', 'BeautyFashion', 'Emotions', 'sexintimacy', 'HealthWellness']","[{'Love': 557.0}, {'Relationship': 388.0}, {'Strength': 388.0}, {'Education': 368.0}, {'Marriage': 288.0}, {'SelfCare': 201.0}, {'BeautyFashion': 199.0}, {'Emotions': 187.0}, {'sexintimacy': 187.0}, {'HealthWellness': 169.0}]"
545,9243b755dd5441769f3ba40286810206,"[60.0, 48.0]","['Technology', 'SelfCare']","[{'Technology': 60.0}, {'SelfCare': 48.0}]"
546,924480d0738147858a15f2c389fbb894,"[25.0, 25.0, 25.0, 11.0, 11.0]","['Covid', 'Education', 'Parenting', 'Cooking', 'Exercise']","[{'Covid': 25.0}, {'Education': 25.0}, {'Parenting': 25.0}, {'Cooking': 11.0}, {'Exercise': 11.0}]"
547,9268773f0d8c40a682d3068e88a8ebc8,[7.0],['Parenting'],[{'Parenting': 7.0}]
548,9278ee9b4fd941f689308681bbbb6b0c,"[1739.0, 1553.0, 1505.0, 1111.0, 1081.0, 1060.0, 774.0, 568.0, 561.0, 458.0]","['Love', 'Emotions', 'Education', 'HealthWellness', 'Marriage', 'Parenting', 'BeautyFashion', 'FamilyRelationships', 'Relationship', 'Activities']","[{'Love': 1739.0}, {'Emotions': 1553.0}, {'Education': 1505.0}, {'HealthWellness': 1111.0}, {'Marriage': 1081.0}, {'Parenting': 1060.0}, {'BeautyFashion': 774.0}, {'FamilyRelationships': 568.0}, {'Relationship': 561.0}, {'Activities': 458.0}]"
549,92abcdf7b1a74052967fa69fe54981a2,"[58.0, 36.0, 30.0, 30.0, 28.0, 23.0, 23.0, 17.0, 15.0, 15.0]","['Love', 'MentalHealth', 'Communication', 'Exercise', 'SelfCare', 'HealthWellness', 'HealthyEating', 'Strength', 'Education', 'SocialMedia']","[{'Love': 58.0}, {'MentalHealth': 36.0}, {'Communication': 30.0}, {'Exercise': 30.0}, {'SelfCare': 28.0}, {'HealthWellness': 23.0}, {'HealthyEating': 23.0}, {'Strength': 17.0}, {'Education': 15.0}, {'SocialMedia': 15.0}]"
550,92ba2d1be0d74805bfc9f2136e35081d,"[102.0, 102.0, 20.0]","['Culture', 'HealthyEating', 'Education']","[{'Culture': 102.0}, {'HealthyEating': 102.0}, {'Education': 20.0}]"
551,92bf1a5a7dc2436dbca03c4f00e057a9,"[576.0, 420.0, 337.0, 320.0, 183.0, 120.0, 120.0, 120.0, 86.0, 80.0]","['Education', 'Love', 'Marriage', 'HealthWellness', 'Relationship', 'BabyDevelopment', 'BeautyFashion', 'Covid', 'Parenting', 'ArtCraft']","[{'Education': 576.0}, {'Love': 420.0}, {'Marriage': 337.0}, {'HealthWellness': 320.0}, {'Relationship': 183.0}, {'BabyDevelopment': 120.0}, {'BeautyFashion': 120.0}, {'Covid': 120.0}, {'Parenting': 86.0}, {'ArtCraft': 80.0}]"
552,92fa62a6a3f14f7ca970f5398f3b333d,"[59.0, 59.0, 59.0]","['BeautyFashion', 'Education', 'Love']","[{'BeautyFashion': 59.0}, {'Education': 59.0}, {'Love': 59.0}]"
